src_ip,events,first_seen,last_seen,bytes_to_srv,bytes_to_cli
178.130.47.23,98,2025-08-29 19:34:53.049000+00:00,2025-08-30 19:10:39.999000+00:00,0.0,22920.0
178.130.47.139,98,2025-08-29 20:44:35.881000+00:00,2025-08-30 19:12:10.681000+00:00,0.0,17190.0
178.130.47.54,98,2025-08-29 19:26:21.129000+00:00,2025-08-30 19:08:10.473000+00:00,550.0,26740.0
185.170.144.3,98,2025-08-30 02:24:49.082000+00:00,2025-08-30 15:17:52.194000+00:00,29050.0,21842.0
115.231.78.10,98,2025-08-29 19:34:37.818000+00:00,2025-08-30 19:04:54.215000+00:00,11326.0,6689.0
142.93.210.136,98,2025-08-29 19:25:54.590000+00:00,2025-08-30 19:16:20.758000+00:00,9659.0,14442.0
178.130.47.68,97,2025-08-29 19:43:47.634000+00:00,2025-08-30 18:34:57.462000+00:00,388.0,8564.0
178.130.47.67,97,2025-08-29 19:34:22.566000+00:00,2025-08-30 19:14:02.232000+00:00,1017.0,15280.0
172.232.9.99,97,2025-08-30 01:13:55.564000+00:00,2025-08-30 19:09:51.097000+00:00,0.0,0.0
178.130.47.47,96,2025-08-29 19:54:57.863000+00:00,2025-08-30 18:36:41.168000+00:00,629.0,23511.0
178.130.47.184,96,2025-08-29 19:26:27.669000+00:00,2025-08-30 19:08:36.355000+00:00,886.0,17364.0
178.130.47.143,95,2025-08-29 19:27:20.742000+00:00,2025-08-30 18:09:33.761000+00:00,550.0,8139.0
178.130.47.64,95,2025-08-29 19:34:03.080000+00:00,2025-08-30 18:15:27.468000+00:00,0.0,28650.0
192.3.101.150,95,2025-08-29 20:43:41.834000+00:00,2025-08-30 14:01:20.455000+00:00,0.0,0.0
178.130.47.28,95,2025-08-29 20:32:26.276000+00:00,2025-08-30 19:14:54.116000+00:00,629.0,28650.0
178.130.47.59,95,2025-08-29 20:14:10.281000+00:00,2025-08-30 18:12:51.046000+00:00,550.0,26764.0
178.130.47.30,95,2025-08-29 19:41:37.754000+00:00,2025-08-30 18:09:33.661000+00:00,0.0,24830.0
178.130.47.36,95,2025-08-29 20:50:35.010000+00:00,2025-08-30 18:47:16.945000+00:00,582.0,22968.0
178.130.47.53,95,2025-08-29 19:36:58.851000+00:00,2025-08-30 19:16:19.831000+00:00,194.0,13370.0
196.188.63.88,95,2025-08-30 11:01:10.770000+00:00,2025-08-30 11:02:48.496000+00:00,112.0,58.0
178.130.47.176,94,2025-08-29 20:01:05.838000+00:00,2025-08-30 14:49:58.137000+00:00,0.0,13370.0
178.130.47.153,94,2025-08-29 20:24:08.929000+00:00,2025-08-30 19:14:02.283000+00:00,388.0,24830.0
178.130.47.167,94,2025-08-29 19:33:59.862000+00:00,2025-08-30 18:38:37.716000+00:00,902.0,27210.0
185.73.124.40,94,2025-08-30 11:29:03.675000+00:00,2025-08-30 19:17:02.352000+00:00,0.0,0.0
